order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1488957,209677,Kaffe 1668,Coffee,27.25,Weekday,3,26,25
1497139,195844,White Horse Tavern (UES),American,13.3,Weekend,4,25,25
1489781,151949,Sant Ambroeus,Coffee,15.45,Weekday,5,35,19
1491835,348892,Morandi,Italian,24.77,Weekend,5,24,33
1486344,398823,Sant Ambroeus,Coffee,15.64,Weekday,Not given,22,32
1481768,455776,Avant Garden,Vegetarian,24.49,Weekend,Not given,26,20
1488801,417676,Hometown Bar-B-Que,BBQ,11.28,Weekend,4,31,27
1493109,264957,Orwashers,Bakery,18.85,Weekday,5,27,27
1492505,442707,American Cut (20% off),Steakhouse,19.88,Weekend,5,24,25
1497166,276442,Magnolia Bakery,Bakery,17.2,Weekend,4,20,25
1493981,136640,Sugar Factory,American,16.38,Weekend,5,30,20
1488974,411756,King Cole Bar,American,6.45,Weekday,Not given,28,15
1495627,68464,Melba's Chelsea,Southern,8.01,Weekday,Not given,23,30
1494439,380167,Blossom,Vegetarian,28.62,Weekend,Not given,29,21
1480824,358654,Sit & Wonder,Coffee,16.85,Weekend,4,29,27
1485327,30082,Shun Lee Palace $0 Delivery Fee,Chinese,22.32,Weekend,5,20,31
1497376,90006,La Mercerie,French,4.5,Weekday,4,25,26
1487152,108980,Mapo BBQ,korean,15.42,Weekend,3,32,27
1479864,433040,Club A Steakhouse,Steakhouse,12.65,Weekday,Not given,20,20
1481147,61029,Shojin $1.99 Delivery,Vegetarian,22.98,Weekend,5,29,23
1484329,412137,Artichoke Basille's Pizza,Italian,17.03,Weekday,3,20,22
1492928,235713,Piccolo Cafe,Coffee,28.61,Weekday,5,23,27
1487668,359856,Artichoke Basille's Pizza,Italian,11.92,Weekday,Not given,22,29
1492032,38712,Patsy's Pizzeria,Italian,17.99,Weekend,Not given,32,29
1489214,343890,Konditori,Coffee,11.61,Weekend,Not given,23,23
1485132,295337,Tavern on the Green,American,15.12,Weekend,5,20,22
1485043,272691,Da Silvano,Italian,7.79,Weekday,Not given,22,19
1480430,366648,P.S. Kitchen,Vegetarian,33.09,Weekday,3,32,21
1495363,91300,Frenchette,French,15.61,Weekday,Not given,20,33
1479417,321346,Lamalo,Middle Eastern,15.26,Weekday,Not given,35,21
1484353,409547,Bar Pitti - CLOSED,Italian Food,28.48,Weekend,3,29,15
1483569,143128,Mad for Chicken,Korean,6.66,Weekday,5,35,32
1477255,50199,Five Guys Burgers and Fries,American,12.13,Weekend,Not given,26,15
1493775,80795,Hometown Bar-B-Que,BBQ,15.01,Weekday,Not given,25,29
1490913,316920,Shojin *NEW*,Vegetarian,18.64,Weekday,4,28,28
1479171,357112,Supermoon Bakehouse,Bakery,25.26,Weekday,3,28,21
1482573,72963,Scarpetta,Italian,12.13,Weekday,Not given,31,25
1480758,445672,Toad Style,Vegetarian,23.34,Weekday,5,33,26
1485943,244400,François Payard,Dessert,16.99,Weekend,5,30,21
1496015,190251,Melba's Chelsea,Southern,18.94,Weekend,5,26,15
1482990,152559,Eleven Madison Park (archived),American,17.66,Weekday,Not given,22,25
1484601,307653,Employees Only,American,7.94,Weekday,4,27,27
1494308,394698,Mimi's Hummus,Middle Eastern,28.46,Weekend,5,24,21
1479611,296463,Casa Enrique,Mexican,4.5,Weekend,5,26,22
1477625,106860,Sushi  of  Gari  Tribeca,Japanese,17.03,Weekday,Not given,35,30
1492723,446414,Pete's Tavern,American,11.97,Weekday,4,27,23
1489170,123871,Le Pavillon,french,10.84,Weekend,5,26,30
1482494,499339,Don Angie,Italian,25.76,Weekend,3,20,27
1481729,341977,Maya (archived),Mexican,19.14,Weekday,3,25,27
1485040,474558,Blue Note,American,14.31,Weekday,Not given,30,19
1479845,48681,Chavela's,Mexican,27.32,Weekday,4,21,15
1485387,188455,sweetgreen,Vegetarian,8.41,Weekday,5,30,29
1488396,203674,The River Cafe - East Village,American,15.55,Weekday,Not given,24,18
1486387,79158,Arrogant Swine,BBQ,17.2,Weekday,4,20,17
1493042,45814,Felice,Italian,21.06,Weekday,Not given,22,27
1478768,305906,Hundred Acres,American,22.35,Weekend,Not given,28,19
1483239,337797,Buddha Bodai - Hell's Kitchen,Vegetarian,17.36,Weekday,Not given,27,26
1479457,477318,Tulcingo,Mexican,8.27,Weekend,4,27,18
1477526,344079,Olea,Mediterranean,24.2,Weekend,Not given,20,16
1482305,43154,McSorley's Old Ale House,American,12.32,Weekend,4,26,21
1487580,265893,The Modern,American,10.1,Weekend,Not given,26,26
1478212,57878,Dos Caminos,Various,11.59,Weekend,Not given,33,22
1479953,352718,Nish Nush,Middle Eastern,28.89,Weekend,Not given,27,18
1497020,233426,Pete's Tavern,American,27.12,Weekend,5,33,26
1496765,157922,Cherche Midi $0 Delivery Fee,French,22.18,Weekend,4,20,33
1495912,219947,Mile End Deli.,Deli,19.36,Weekend,5,29,28
1486140,289783,Spot Dessert Bar,Dessert,21.73,Weekday,Not given,26,23
1493256,20155,SEY Coffee,Coffee,8.58,Weekday,Not given,26,20
1478712,160020,Le Crava,American,13.07,Weekday,Not given,32,33
1490527,31096,Momofuku Ko,Korean,7.13,Weekday,3,21,30
1491289,247249,Morton's,Steakhouse,29.73,Weekday,3,20,32
1485034,69717,Levain Bakery,Bakery,4.5,Weekend,5,32,27
1477087,206039,Shake Shack,American,12.66,Weekend,5,25,15
1491811,137829,Max - Free Delivery,Italian,29.62,Weekend,Not given,32,33
1482907,66616,Charles' Country Pan Fried Chicken,Southern,24.65,Weekday,5,26,16
1495060,100759,Patsy's Pizzeria,Italian,18.88,Weekend,Not given,30,19
1497182,486598,Toby's Estate,Coffee,4.5,Weekend,Not given,20,21
1491385,276029,Trinity lPace,American Cuisine,26.61,Weekday,Not given,22,25
1487303,341197,Gregory's Coffee,Coffee,27.36,Weekend,Not given,26,17
1496478,13854,Le Coucou,French,25.76,Weekday,5,34,19
1494315,193511,Smith & Wollensky,Steakhouse,16.21,Weekday,5,25,18
1485681,164767,Crown Shy,American,9.19,Weekday,3,34,27
1496389,482601,Spot Dessert Bar,Dessert,17.99,Weekday,5,32,18
1487989,281039,Bobwhite Counter,Southern,13.19,Weekday,Not given,25,15
1493260,392802,V-Spot,Vegetarian,8.2,Weekend,5,34,18
1478698,171087,Stumptown,Coffee,18.71,Weekday,3,24,28
1488923,126564,New Wonjo,Korean,14.86,Weekday,4,34,23
1496990,160045,Hungry Ghost,Coffee,17.72,Weekend,3,32,25
1482909,254399,Modern Love Brooklyn (archived),Vegetarian,6.98,Weekend,Not given,35,33
1483859,290247,Rocco Steakhouse,Steakhouse,14.52,Weekday,Not given,20,15
1487778,29151,Attaboy,American,19.37,Weekday,Not given,29,31
1494701,345264,Sparks Steak House,Steakhouse,8.26,Weekday,4,31,22
1482313,252985,Think Coffee - CLOSED,Coffee,15.21,Weekend,5,30,18
1496357,382138,Murray's Bagels,Deli,8.47,Weekday,5,27,27
1489268,236609,Balthazar,French,23.13,Weekend,3,21,30
1484691,136059,Ippudo - Free Delivery,Japanese,17.9,Weekend,5,26,17
1479062,123467,North End Grill,American,11.41,Weekend,5,27,22
1495755,201503,Emilio's Ballato,Italian,14.52,Weekend,3,23,28
1487620,463199,sweetgreen Brooklyn,Vegetarian,22.7,Weekend,4,28,24
1482674,233347,Supercrown,Coffee,22.73,Weekday,4,24,23
1491814,94666,Three Seat Espresso,Coffee,28.01,Weekday,5,21,17
1479254,35583,Zabar's,Deli,19.06,Weekend,3,25,24
1493654,125991,Double Zero,Vegetarian,13.49,Weekday,4,23,16
1485948,108227,Vic's,American,10.65,Weekday,5,21,22
1493780,182801,Pig Beach,BBQ,26.64,Weekend,5,21,19
1493272,226347,Kaffe 1668,Coffee,9.93,Weekend,Not given,23,30
1494357,262154,Pete's Tavern,American,13.79,Weekday,4,22,20
1481181,338416,Nowon,Korean,13.77,Weekday,5,26,23
1488893,32793,Clinton St. Baking Company,American,26.4,Weekend,4,33,24
1496063,341112,Veniero's (Original Location),Bakery,6.77,Weekend,Not given,26,18
1478414,41409,Nobu Next Door,Japanese,12.66,Weekend,Not given,20,21
1488614,44295,Augustine,American,21.19,Weekday,4,25,17
1483632,132319,Du's Donuts,Bakery,7.23,Weekday,Not given,35,23
1478703,476918,Mr. K's Chelsea,Chinese,9.55,Weekday,5,34,23
1492176,306123,Banter,Coffee,19.2,Weekday,5,35,24
1491042,216661,Venchi,Ice Cream,16.9,Weekend,Not given,27,27
1479533,368813,Per Se,French,13.92,Weekday,3,24,29
1489362,312897,Citizens of,Australian,13.33,Weekday,5,26,23
1479230,369825,Felix,French,17.61,Weekend,4,25,25
1481724,369104,Nom Wah Tea Parlor,Chinese,20.31,Weekday,3,27,27
1490503,76028,Peaches,Southern,4.5,Weekday,Not given,31,17
1479557,266294,Bea,American,11.39,Weekday,Not given,23,26
1492976,332887,The Pool,American,18.96,Weekday,Not given,24,25
1493449,61618,Veggie Grill,Vegetarian,24.04,Weekday,Not given,27,21
1485253,216705,Bemelmans Bar,American,10.7,Weekend,Not given,20,25
1479220,271897,Champs Diner,Vegetarian,22.11,Weekend,5,20,18
1477543,59105,Sushi of Gari 46,Japanese,12.13,Weekend,5,27,20
1494755,491684,Yoon Haeundae Galbi,Korean,15.19,Weekend,Not given,33,26
1492413,459657,Ophelia,American,27.12,Weekday,3,25,21
1481541,187620,il Buco Alimentari - Downtown,Italian,8.29,Weekend,4,31,23
1477980,385150,Blue Ribbon Sushi,Japanese,17.85,Weekend,Not given,28,18
1493492,26031,Max Brenner (UES),Dessert,14.5,Weekend,5,28,28
1486847,14863,Hole in the Wall,Australian,21.41,Weekday,Not given,22,18
1494481,157431,Sparks Steak House (closed),Steakhouse,10.07,Weekend,3,28,26
1486529,274522,Ping's Seafood,Chinese,18.31,Weekday,5,28,17
1482403,346919,sweetgreen Brooklyn,Vegetarian,21.87,Weekend,3,30,20
1483864,261559,Blackbarn,USA,18.76,Weekend,3,21,30
1482890,463521,Industry Kitchen,American,25.98,Weekday,4,23,18
1484336,409452,BOSIE TEA PARLOR,Dessert,8.74,Weekend,Not given,26,18
1476919,387227,Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30
1486230,3260,Dirt Candy,Vegetarian,18.76,Weekday,3,33,26
1493470,304297,Al di La Ã©,Italian,5.22,Weekday,4,27,20
1492736,187886,Spot Dessert Bar,Dessert,19.89,Weekday,4,27,21
1493069,26355,Marea Upper West Side,Italian,7.96,Weekday,5,26,27
1481202,50760,The Leopard at des Artistes,Italian,9.62,Weekend,4,34,33
1493916,176305,Red Rooster Harlem,Southern,18.01,Weekend,Not given,24,18
1486080,368578,Mimi's Hummus,Middle Eastern,25.1,Weekday,4,29,30
1477123,270525, The Smile ,American,8.59,Weekend,4,32,29
1491425,352882,Piccola Cucina (UES),Italian,7.93,Weekend,Not given,20,33
1490213,146275,Jing Fong,Chinese,17.69,Weekday,5,20,23
1485653,390040,François Payard,Dessert,4.5,Weekday,4,24,15
1492248,357340,Fonda,Mexican,13.76,Weekday,4,26,28
1479991,235982,Vic's,American,4.5,Weekday,5,24,28
1483500,295290,STK [LIMITED TIME],Steakhouse,35.0,Weekday,5,30,23
1487226,465427,Taim,Middle Eastern,15.67,Weekday,Not given,32,19
1492711,8953,Orwashers - CLOSED,Bakery,8.07,Weekend,5,27,27
1477789,185355,Sushi Samba,Japanese,22.85,Weekday,5,21,32
1489967,375117,Toby's Estate,Coffee,25.42,Weekday,4,33,21
1489108,334986,Saba,Middle Eastern,20.1,Weekday,5,35,20
1493390,268076,Carne Mare,Steakhouse,22.88,Weekday,5,35,21
1491802,428504,Levain Bakery (20% off),Bakery,13.31,Weekday,5,29,23
1497184,362887,Palma (permanently closed),Italian,14.68,Weekday,Not given,34,18
1490892,295318,Sugar Factory,American,13.54,Weekend,4,23,23
1492314,377140,Gregory's Coffee Ã©,Coffee,4.5,Weekday,3,20,20
1481236,126081,Ramen Lab,Japanese,16.2,Weekend,Not given,27,27
1489429,244394,Citizens of,Australian,35.0,Weekday,4,25,26
1496722,1768,Joe's Pizza,Italian,10.62,Weekday,3,20,24
1489471,129720,Mimi's Hummus,Middle Eastern,10.35,Weekend,5,33,23
1481364,70964,Morandi,Italian,16.41,Weekend,4,25,20
1481174,407176,Porter House,Steakhouse,4.5,Weekday,Not given,23,25
1481451,104914,Le Crava,American,26.7,Weekday,5,25,26
1486294,348548,Death & Co,American,8.22,Weekend,Not given,21,19
1487734,484343,Christos Steak House,Steakhouse,20.69,Weekday,5,29,23
1479856,257401,Kang Ho Dong Baekjeong,Korean,4.5,Weekday,Not given,20,15
1489327,137749,Cote,Korean,17.95,Weekday,5,26,29
1490538,296345,Gazala's,Middle Eastern,12.13,Weekday,3,30,26
1480831,318049,Max,Italian,9.37,Weekend,Not given,31,26
1492943,478825,Pastis Ã±,French,10.33,Weekday,5,29,24
1486164,203879,Dirt Candy,Vegetarian,9.75,Weekday,5,22,23
1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29
1488884,429889,Balthazar,French,14.86,Weekend,4,25,16
1495707,452689,Hundred Acres,American,9.97,Weekend,4,35,30
1496004,286633,Fanelli's Cafe,American,23.67,Weekend,Not given,20,33
1496729,271850,Citizens of,Australian,11.82,Weekend,5,21,18
1478966,143400,Blossom,Vegetarian,22.45,Weekday,5,30,23
1482262,130390,Cha Cha Matcha,Dessert,7.24,Weekday,Not given,23,20
1492989,68362,Minetta Tavern,American,12.1,Weekend,5,23,28
1490815,258560,Prince Tea House,Dessert,13.94,Weekend,3,29,23
1483685,267689,Strip House,Steakhouse,7.03,Weekend,4,35,22
1481334,285445,The Cecil,Southern,11.36,Weekday,Not given,27,25
1488960,335753,ChikaLicious,Dessert,25.25,Weekend,5,24,25
1486110,322864,Gramercy Tavern,American,21.69,Weekend,4,24,23
1482209,248374,Amy's Bread [LIMITED TIME],Bakery,21.58,Weekday,3,33,27
1483206,67991,Franchia,Vegetarian,18.75,Weekday,4,22,20
1491379,386170,Levain Bakery (20% off),Bakery,28.62,Weekday,5,22,19
1487202,363421,Smith & Wollensky,Steakhouse,26.58,Weekend,4,32,28
1491683,141395,Joe Coffee,Coffee,8.33,Weekday,Not given,35,28
1491107,319508,Empellon Ì©,Mexican,19.66,Weekday,5,28,32
1496375,495503,Le Pain Quotidien,Vegetarian,11.06,Weekday,3,26,21
1491841,86117,Sparks Steak House (closed),Steakhouse,20.73,Weekend,Not given,27,26
1491516,336681,Maialino (archived),Italian,29.86,Weekday,5,29,15
1480391,390020,Brooklyn Roasting Company,Coffee,21.79,Weekday,5,28,21
1484675,173111,Fanelli's Cafe,American,20.34,Weekday,Not given,27,27
1482452,300433,Bourke Street Bakery,Coffee,21.57,Weekend,5,24,18
1496670,165043,AJ Maxwell's (permanently closed),Steakhouse,12.22,Weekday,5,23,23
1489584,163684,Asiate,American,17.08,Weekday,Not given,31,17
1485188,309089,Robert,American,14.38,Weekday,4,22,25
1478963,478829,Sullivan Street Bakery,Bakery,15.29,Weekend,Not given,29,23
1479947,74393,Magnolia Bakery _¤¾Ñ¼,Bakery,13.11,Weekend,5,21,15
1493080,60117,Buddha Bodai,Vegetarian,10.44,Weekday,4,21,26
1486715,183615,Van Leeuwen,Ice Cream,4.5,Weekend,5,20,21
1485070,64588,Brooklyn Roasting Company,Coffee,14.25,Weekday,Not given,27,28
1489852,135739,Daniel,French,26.86,Weekday,Not given,23,24
1481199,470861,Porter House,Steakhouse,16.8,Weekday,4,24,23
1489680,270445,Blue Bottle,Coffee,22.13,Weekday,Not given,24,25
1493606,268640,B&H Dairy,Vegetarian,7.31,Weekend,5,31,22
1481782,305494,Supermoon Bakehouse,Bakery,19.71,Weekend,Not given,31,22
1484417,180924,Babbo,Italian,20.37,Weekend,5,28,32
1494500,215669,Southside Coffee,Coffee,13.44,Weekend,4,24,20
1492581,274317,Sonnyboy,Australian,25.97,Weekday,5,29,23
1487415,93155,Kaffe 1668,Coffee,21.94,Weekday,4,31,24
1486677,291771,Cote,Korean,20.24,Weekday,3,27,15
1477682,35432,TAO,Japanese,14.99,Weekend,Not given,24,21
1494436,16834,Banter,Coffee,15.39,Weekday,5,25,20
1487525,13796,Peter Luger Steak House,Steakhouse,14.1,Weekend,5,35,17
1486125,48931,Palma (permanently closed),Italian,20.29,Weekend,Not given,27,27
1480316,363586,Sauce,Italian,7.05,Weekday,5,32,21
1490076,404932,Nish Nush Ã©,Middle Eastern,15.71,Weekday,3,25,21
1491585,74130,AJ Maxwell's (permanently closed),Steakhouse,23.1,Weekday,5,24,22
1486236,299787,Magnolia Bakery,Bakery,5.11,Weekend,4,28,19
1486274,182157,Dante *NEW*,Italian,7.62,Weekend,5,23,21
1490816,486754,Financier Patisserie (20% off),Dessert,23.31,Weekend,3,34,24
1481111,29946,Blackbarn,American,12.8,Weekday,5,35,25
1476810,95164,Amma,Indian,19.35,Weekend,Not given,30,16
1477636,94909,Parm,Italian,12.13,Weekend,4,29,26
1481035,345846,The Donut Pub,Bakery,11.37,Weekend,5,32,19
1489486,71840,Miss Ada Upper West Side,Middle Eastern,26.18,Weekend,4,20,23
1481492,353742,Sylvia's,Southern,17.75,Weekday,3,27,20
1481358,379728,Harbs,Dessert,7.58,Weekday,5,24,25
1478380,110091,TheM eatball Shop,Italian,9.41,Weekday,5,30,32
1495311,495227,Casa Enrique,Mexican,14.19,Weekend,Not given,27,29
1492793,348804,Bar Pitti,Italian,20.95,Weekday,5,29,31
1479213,330085,Chumley's,American,23.05,Weekday,5,29,18
1482440,408409,Di Fara Pizza,Italian,25.83,Weekend,5,33,33
1488350,97745,Jongro BBQ,Korean,16.6,Weekday,5,25,16
1495711,278308,ABCV,Vegetarian,24.5,Weekday,Not given,25,19
1487069,434,Roots Cafe,Coffee,12.84,Weekend,5,33,24
1489586,174955,Arlo,american,22.73,Weekday,5,22,31
1478626,182224,Supermoon Bakehouse,Bakery,10.16,Weekday,4,22,31
1479771,26782,The Brandy Library,American,11.18,Weekday,Not given,25,21
1484475,499530,Shojin $1.99 Delivery,Vegetarian,22.99,Weekday,5,32,23
1494162,427831,Double Zero,Vegetarian,16.72,Weekday,5,20,16
1493604,343884,Quantum Leap,Vegetarian,14.16,Weekday,5,28,23
1487711,24733,The Abraço,Coffee,21.77,Weekday,5,28,21
1486484,130265,Nom Wah Tea Parlor,Chinese,13.38,Weekend,4,22,22
1482036,21641,Vic's,American,6.89,Weekend,Not given,29,23
1488314,320750,The Boathouse,American,17.77,Weekday,5,23,15
1482115,73829,Balthazar,French,18.65,Weekday,5,24,33
1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican ,19.35,Weekend,4,21,18
1488858,238682,Seasoned Vegan,Vegetarian,10.46,Weekday,Not given,29,22
1480574,23012,Carnegie Deli (closed),Deli,23.59,Weekday,5,23,26
1487213,149601,Roots Cafe,Coffee,12.04,Weekend,Not given,27,25
1481612,318378,Tacombi,Mexican,17.99,Weekday,3,23,16
1494538,238866,Champs Diner (Original Location),Vegetarian,4.5,Weekend,3,26,23
1490642,482070,Brooklyn Roastnig Company,Coffee,18.35,Weekend,5,30,15
1483559,363160,Peter Pan Donut,Bakery,20.39,Weekend,5,20,24
1496054,219542,Think Coffee,Coffee,17.93,Weekday,5,30,25
1496458,457433,Frankies 457 Spuntino,Italian,4.5,Weekend,5,27,28
1484890,32508,Piccolo Cafe,Coffee,16.13,Weekend,5,26,22
1484993,107856,Cecconi's,Italian,4.5,Weekend,Not given,27,25
1487255,240960,American Cut,Steakhouse,9.8,Weekday,5,32,24
1481709,239405,Wild Ginger,Vegetarian,19.49,Weekday,4,29,23
1489024,116865,Banter,Coffee,17.93,Weekday,5,32,26
1492437,10277,Pier A Harbor House,American,19.75,Weekday,5,28,26
1484127,23471,Quality Meats,Steakhouse,17.27,Weekday,4,27,21
1486480,90652,Atoboy,Korean,16.92,Weekend,3,29,23
1495331,486492,"One if by Land, Two if by Sea",American,17.91,Weekday,Not given,27,26
1491997,285419,Kaffe 1668,Coffee,35.0,Weekday,Not given,24,20
1494553,67482,Zabar's,Deli,17.44,Weekend,3,24,20
1476593,175703,The Meatball Shop,Italian,20.61,Weekend,Not given,34,30
1487550,403795,Sugar Factory,American,15.75,Weekend,5,27,15
1477849,117033,P.J. Clarke's,American,29.2,Weekend,Not given,30,22
1483623,483417,P.S. Kitchen,Vegetarian,9.68,Weekday,4,27,19
